⚠️ File truncated for preview (showing first 0.5MB of 2.5MB)
────────────────────────────────────────────────────────────

customer_id,customer_type,billing_date,billing_period,consumption_gallons,bill_amount_usd,payment_status,rate_per_1000_gal
CUST-00001,Commercial,2024-01-18,2024-01,37819.0,128.46,Paid,3.0
CUST-00001,Commercial,2024-02-18,2024-02,38444.0,130.33,Overdue,3.0
CUST-00001,Commercial,2024-03-27,2024-03,40163.0,135.49,Paid,3.0
CUST-00001,Commercial,2024-04-15,2024-04,10152.0,45.45,Paid,3.0
CUST-00001,Commercial,2024-05-19,2024-05,41370.0,139.11,Paid,3.0
CUST-00001,Commercial,2024-06-19,2024-06,48624.0,160.87,Paid,3.0
CUST-00001,Commercial,2024-07-14,2024-07,54577.0,178.73,Overdue,3.0
CUST-00001,Commercial,2024-08-01,2024-08,51107.0,168.32,Paid,3.0
CUST-00002,Residential,2024-01-07,2024-01,5295.0,28.24,Paid,2.5
CUST-00002,Residential,2024-02-09,2024-02,5646.0,29.11,Paid,2.5
CUST-00002,Residential,2024-03-12,2024-03,5182.0,27.95,Paid,2.5
CUST-00002,Residential,2024-04-19,2024-04,4597.0,26.49,Paid,2.5
CUST-00002,Residential,2024-05-20,2024-05,15422.0,53.55,Paid,2.5
CUST-00002,Residential,2024-06-08,2024-06,8015.0,35.04,Paid,2.5
CUST-00002,Residential,2024-07-20,2024-07,5421.0,28.55,Paid,2.5
CUST-00002,Residential,2024-08-02,2024-08,5218.0,28.05,Pending,2.5
CUST-00003,Residential,2024-01-20,2024-01,5457.0,28.64,Paid,2.5
CUST-00003,Residential,2024-02-09,2024-02,5864.0,29.66,Paid,2.5
CUST-00003,Residential,2024-03-15,2024-03,6340.0,30.85,Paid,2.5
CUST-00003,Residential,2024-04-13,2024-04,6407.0,31.02,Paid,2.5
CUST-00003,Residential,2024-05-26,2024-05,4633.0,26.58,Overdue,2.5
CUST-00003,Residential,2024-06-22,2024-06,7521.0,33.8,Paid,2.5
CUST-00003,Residential,2024-07-19,2024-07,8761.0,36.9,Paid,2.5
CUST-00003,Residential,2024-08-25,2024-08,9040.0,37.6,Paid,2.5
CUST-00004,Residential,2024-01-01,2024-01,7509.0,33.77,Paid,2.5
CUST-00004,Residential,2024-02-08,2024-02,6839.0,32.1,Paid,2.5
CUST-00004,Residential,2024-03-07,2024-03,5595.0,28.99,Paid,2.5
CUST-00004,Residential,2024-04-28,2024-04,7047.0,32.62,Paid,2.5
CUST-00004,Residential,2024-05-17,2024-05,7309.0,33.27,Paid,2.5
CUST-00004,Residential,2024-06-27,2024-06,9084.0,37.71,Paid,2.5
CUST-00004,Residential,2024-07-22,2024-07,9803.0,39.51,Paid,2.5
CUST-00004,Residential,2024-08-19,2024-08,8194.0,35.49,Paid,2.5
CUST-00005,Residential,2024-01-15,2024-01,11340.0,43.35,Paid,2.5
CUST-00005,Residential,2024-02-23,2024-02,9157.0,37.89,Paid,2.5
CUST-00005,Residential,2024-03-22,2024-03,11269.0,43.17,Paid,2.5
CUST-00005,Residential,2024-04-13,2024-04,9164.0,37.91,Paid,2.5
CUST-00005,Residential,2024-05-27,2024-05,9584.0,38.96,Paid,2.5
CUST-00005,Residential,2024-06-03,2024-06,17580.0,58.95,Overdue,2.5
CUST-00005,Residential,2024-07-03,2024-07,15879.0,54.7,Paid,2.5
CUST-00005,Residential,2024-08-07,2024-08,15166.0,52.91,Paid,2.5
CUST-00006,Residential,2024-01-27,2024-01,10552.0,41.38,Paid,2.5
CUST-00006,Residential,2024-02-20,2024-02,9981.0,39.95,Pending,2.5
CUST-00006,Residential,2024-03-06,2024-03,12605.0,46.51,Paid,2.5
CUST-00006,Residential,2024-04-02,2024-04,9529.0,38.82,Paid,2.5
CUST-00006,Residential,2024-05-01,2024-05,10291.0,40.73,Paid,2.5
CUST-00006,Residential,2024-06-24,2024-06,18576.0,61.44,Paid,2.5
