⚠️ File truncated for preview (showing first 0.5MB of 0.8MB)
────────────────────────────────────────────────────────────

asset_id,asset_type,install_date,age_years,maintenance_date,maintenance_type,failure_mode,downtime_hours,cost_usd,parts_replaced,priority,completed
Motor-0283,Motor,2014-01-15,0.1,2014-03-05,Corrective,Calibration-Drift,8.2,4204.04,No,High,Yes
Pump-0068,Pump,2014-01-15,0.2,2014-03-23,Corrective,Wear,7.7,3457.31,No,High,Yes
Pipe-Section-0406,Pipe-Section,2014-01-11,0.2,2014-03-30,Corrective,Calibration-Drift,8.0,1704.12,No,High,Yes
Meter-0855,Meter,2014-01-28,0.2,2014-04-20,Emergency,Corrosion,34.6,17859.21,No,Critical,Yes
Pipe-Section-0435,Pipe-Section,2014-02-07,0.2,2014-04-25,Preventive,,0.9,657.24,No,Normal,Yes
Meter-0863,Meter,2014-03-18,0.1,2014-05-10,Corrective,Mechanical-Break,2.2,2608.1,Yes,High,Yes
Valve-0204,Valve,2014-02-07,0.3,2014-05-11,Preventive,,1.8,674.67,No,Normal,Yes
Chlorinator-0569,Chlorinator,2014-02-28,0.2,2014-05-14,Preventive,,1.8,792.91,No,Normal,Yes
Meter-0880,Meter,2014-02-08,0.3,2014-05-16,Preventive,,0.8,1305.93,No,Normal,Yes
Pump-0038,Pump,2014-02-28,0.2,2014-05-20,Preventive,,2.6,1488.17,No,Normal,Yes
Pump-0068,Pump,2014-01-15,0.4,2014-05-30,Preventive,,2.4,570.97,No,Normal,Yes
Chlorinator-0554,Chlorinator,2014-05-02,0.1,2014-06-01,Emergency,Seal-Leak,44.7,7978.09,Yes,Critical,Yes
Pump-0036,Pump,2014-03-23,0.2,2014-06-03,Corrective,Blockage,4.5,3991.82,No,High,Yes
Valve-0144,Valve,2014-03-27,0.2,2014-06-06,Preventive,,2.1,822.91,No,Normal,Yes
Sensor-0704,Sensor,2014-04-20,0.1,2014-06-08,Emergency,Mechanical-Break,16.4,15437.56,No,Critical,Yes
Meter-0882,Meter,2014-03-19,0.2,2014-06-11,Calibration,,1.3,470.4,No,Normal,Yes
Filter-0678,Filter,2014-01-30,0.4,2014-06-14,Preventive,,2.3,985.08,No,Normal,Yes
Sensor-0717,Sensor,2014-05-10,0.1,2014-06-15,Emergency,Bearing-Failure,18.8,23189.3,Yes,Critical,Yes
Chlorinator-0552,Chlorinator,2014-02-22,0.3,2014-06-25,Preventive,,2.3,1424.8,No,Normal,Yes
Pipe-Section-0463,Pipe-Section,2014-03-06,0.3,2014-06-29,Corrective,Seal-Leak,8.5,5714.84,No,High,Yes
Valve-0165,Valve,2014-04-14,0.2,2014-07-04,Corrective,Wear,6.4,2267.39,Yes,High,Yes
Motor-0283,Motor,2014-01-15,0.5,2014-07-06,Preventive,,3.1,222.32,No,Normal,Yes
