⚠️ File truncated for preview (showing first 0.5MB of 5.6MB)
────────────────────────────────────────────────────────────

timestamp,station,chlorine_mg_l,ph,turbidity_ntu,temperature_c,conductivity_us_cm,chlorine_compliant,ph_compliant,turbidity_compliant,overall_compliant
2024-01-01 00:00:00,Station-01-Downtown,1.278,7.27,0.47,25.5,446.2,Yes,Yes,Yes,Yes
2024-01-01 00:00:00,Station-02-Industrial,1.175,7.35,0.42,23.1,453.5,Yes,Yes,Yes,Yes
2024-01-01 00:00:00,Station-03-Residential-North,1.465,7.3,0.64,28.9,429.7,Yes,Yes,Yes,Yes
2024-01-01 00:00:00,Station-04-Residential-South,1.571,7.07,0.21,31.0,452.2,Yes,Yes,Yes,Yes
2024-01-01 00:00:00,Station-05-Coastal,1.656,7.17,0.92,32.4,523.1,Yes,Yes,Yes,Yes
2024-01-01 00:00:00,Station-06-Airport,1.857,7.42,0.17,24.8,404.6,Yes,Yes,Yes,Yes
2024-01-01 00:00:00,Station-07-Hospital,1.507,7.21,0.23,26.4,469.9,Yes,Yes,Yes,Yes
2024-01-01 00:00:00,Station-08-University,1.817,7.43,0.2,22.4,441.2,Yes,Yes,Yes,Yes
2024-01-01 00:00:00,Station-09-Mall,2.117,7.42,0.69,23.7,469.5,Yes,Yes,Yes,Yes
2024-01-01 00:00:00,Station-10-Port,2.272,7.21,0.28,24.3,465.0,Yes,Yes,Yes,Yes
2024-01-01 00:00:00,Station-11-Suburb-East,2.262,7.65,0.25,27.5,473.1,Yes,Yes,Yes,Yes
2024-01-01 00:00:00,Station-12-Suburb-West,2.213,7.38,0.75,29.1,447.2,Yes,Yes,Yes,Yes
2024-01-01 01:00:00,Station-01-Downtown,1.185,7.04,0.54,25.6,475.6,Yes,Yes,Yes,Yes
2024-01-01 01:00:00,Station-02-Industrial,1.426,7.29,0.71,31.6,428.5,Yes,Yes,Yes,Yes
2024-01-01 01:00:00,Station-03-Residential-North,1.416,7.18,0.79,24.8,447.9,Yes,Yes,Yes,Yes
2024-01-01 01:00:00,Station-04-Residential-South,1.712,7.19,0.41,31.2,417.5,Yes,Yes,Yes,Yes
2024-01-01 01:00:00,Station-05-Coastal,1.615,7.36,0.86,22.1,537.8,Yes,Yes,Yes,Yes
2024-01-01 01:00:00,Station-06-Airport,1.825,7.11,0.12,23.6,455.1,Yes,Yes,Yes,Yes
2024-01-01 01:00:00,Station-07-Hospital,1.532,7.64,0.0,24.4,452.9,Yes,Yes,Yes,Yes
2024-01-01 01:00:00,Station-08-University,1.983,7.26,0.05,25.8,444.6,Yes,Yes,Yes,Yes
2024-01-01 01:00:00,Station-09-Mall,2.054,7.24,0.2,24.2,508.7,Yes,Yes,Yes,Yes
2024-01-01 01:00:00,Station-10-Port,2.112,7.29,0.85,26.8,509.7,Yes,Yes,Yes,Yes
2024-01-01 01:00:00,Station-11-Suburb-East,2.387,7.21,0.24,27.3,479.2,Yes,Yes,Yes,Yes
2024-01-01 01:00:00,Station-12-Suburb-West,2.208,7.05,0.37,22.2,449.8,Yes,Yes,Yes,Yes
2024-01-01 02:00:00,Station-01-Downtown,1.643,7.34,0.91,28.5,446.3,Yes,Yes,Yes,Yes
2024-01-01 02:00:00,Station-02-Industrial,1.448,7.56,0.0,27.0,467.7,Yes,Yes,Yes,Yes
