⚠️ File truncated for preview (showing first 0.5MB of 3.4MB)
────────────────────────────────────────────────────────────

timestamp,facility,energy_consumption_kwh,energy_cost_usd,energy_rate_per_kwh,rate_period,water_produced_gallons,energy_efficiency_gal_per_kwh
2024-01-01 00:00:00,Main-Treatment-Plant,687.3,54.98,0.08,Off-Peak,343.7,0.5
2024-01-01 00:00:00,North-Pumping-Station,286.35,22.91,0.08,Off-Peak,343.6,1.2
2024-01-01 00:00:00,South-Pumping-Station,251.6,20.13,0.08,Off-Peak,301.9,1.2
2024-01-01 00:00:00,Desalination-Plant,761.88,60.95,0.08,Off-Peak,380.9,0.5
2024-01-01 00:00:00,Booster-Station-1,268.61,21.49,0.08,Off-Peak,322.3,1.2
2024-01-01 00:00:00,Booster-Station-2,284.66,22.77,0.08,Off-Peak,341.6,1.2
2024-01-01 00:00:00,Admin-Building,3.72,0.3,0.08,Off-Peak,,
2024-01-01 00:00:00,Laboratory,4.77,0.38,0.08,Off-Peak,,
2024-01-01 00:00:00,Operations-Center,3.61,0.29,0.08,Off-Peak,,
2024-01-01 01:00:00,Main-Treatment-Plant,708.29,56.66,0.08,Off-Peak,354.1,0.5
2024-01-01 01:00:00,North-Pumping-Station,434.99,34.8,0.08,Off-Peak,522.0,1.2
2024-01-01 01:00:00,South-Pumping-Station,297.87,23.83,0.08,Off-Peak,357.4,1.2
2024-01-01 01:00:00,Desalination-Plant,757.0,60.56,0.08,Off-Peak,378.5,0.5
2024-01-01 01:00:00,Booster-Station-1,288.55,23.08,0.08,Off-Peak,346.3,1.2
2024-01-01 01:00:00,Booster-Station-2,193.19,15.46,0.08,Off-Peak,231.8,1.2
2024-01-01 01:00:00,Admin-Building,5.28,0.42,0.08,Off-Peak,,
2024-01-01 01:00:00,Laboratory,4.02,0.32,0.08,Off-Peak,,
2024-01-01 01:00:00,Operations-Center,3.83,0.31,0.08,Off-Peak,,
2024-01-01 02:00:00,Main-Treatment-Plant,740.59,59.25,0.08,Off-Peak,370.3,0.5
2024-01-01 02:00:00,North-Pumping-Station,333.16,26.65,0.08,Off-Peak,399.8,1.2
2024-01-01 02:00:00,South-Pumping-Station,244.94,19.6,0.08,Off-Peak,293.9,1.2
2024-01-01 02:00:00,Desalination-Plant,740.07,59.21,0.08,Off-Peak,370.0,0.5
2024-01-01 02:00:00,Booster-Station-1,301.61,24.13,0.08,Off-Peak,361.9,1.2
2024-01-01 02:00:00,Booster-Station-2,219.43,17.55,0.08,Off-Peak,263.3,1.2
2024-01-01 02:00:00,Admin-Building,6.3,0.5,0.08,Off-Peak,,
2024-01-01 02:00:00,Laboratory,4.44,0.36,0.08,Off-Peak,,
2024-01-01 02:00:00,Operations-Center,4.47,0.36,0.08,Off-Peak,,
2024-01-01 03:00:00,Main-Treatment-Plant,699.27,55.94,0.08,Off-Peak,349.6,0.5
2024-01-01 03:00:00,North-Pumping-Station,346.13,27.69,0.08,Off-Peak,415.4,1.2
2024-01-01 03:00:00,South-Pumping-Station,250.94,20.08,0.08,Off-Peak,301.1,1.2
2024-01-01 03:00:00,Desalination-Plant,748.3,59.86,0.08,Off-Peak,374.1,0.5
2024-01-01 03:00:00,Booster-Station-1,228.21,18.26,0.08,Off-Peak,273.8,1.2
2024-01-01 03:00:00,Booster-Station-2,283.05,22.64,0.08,Off-Peak,339.7,1.2
2024-01-01 03:00:00,Admin-Building,4.05,0.32,0.08,Off-Peak,,
2024-01-01 03:00:00,Laboratory,4.07,0.33,0.08,Off-Peak,,
2024-01-01 03:00:00,Operations-Center,5.12,0.41,0.08,Off-Peak,,
2024-01-01 04:00:00,Main-Treatment-Plant,773.39,61.87,0.08,Off-Peak,386.7,0.5
2024-01-01 04:00:00,North-Pumping-Station,328.91,26.31,0.08,Off-Peak,394.7,1.2
2024-01-01 04:00:00,South-Pumping-Station,257.2,20.58,0.08,Off-Peak,308.6,1.2
2024-01-01 04:00:00,Desalination-Plant,734.43,58.75,0.08,Off-Peak,367.2,0.5
2024-01-01 04:00:00,Booster-Station-1,244.74,19.58,0.08,Off-Peak,293.7,1.2
2024-01-01 04:00:00,Booster-Station-2,241.8,19.34,0.08,Off-Peak,290.2,1.2
2024-01-01 04:00:00,Admin-Building,2.59,0.21,0.08,Off-Peak,,
2024-01-01 04:00:00,Laboratory,5.0,0.4,0.08,Off-Peak,,
2024-01-01 04:00:00,Operations-Center,4.42,0.35,0.08,Off-Peak,,
2024-01-01 05:00:00,Main-Treatment-Plant,733.84,58.71,0.08,Off-Peak,366.9,0.5
