complaint_id,customer_id,complaint_date,complaint_type,priority,status,location,resolution_date,resolution_hours,customer_satisfied
COMP-00085,CUST-03619,2024-01-01 00:00:00,High-Bill,Medium,Closed,Station-05-Coastal,2024-01-05 07:36:44,103.6,No
COMP-00661,CUST-02343,2024-01-01 00:00:00,Water-Quality,High,Closed,Station-02-Industrial,2024-01-02 05:24:01,29.4,Pending
COMP-00838,CUST-04615,2024-01-01 00:00:00,Low-Pressure,Low,Resolved,Zone-E-West,2024-01-03 08:12:48,56.2,Yes
COMP-00848,CUST-00249,2024-01-01 00:00:00,Service-Interruption,High,Closed,Station-06-Airport,2024-01-01 07:49:38,7.8,Yes
COMP-00950,CUST-04143,2024-01-01 00:00:00,High-Bill,Medium,Closed,Station-09-Mall,2024-01-03 12:46:39,60.8,Pending
COMP-01111,CUST-01570,2024-01-01 00:00:00,Low-Pressure,Medium,Resolved,Station-02-Industrial,2024-01-02 18:45:25,42.8,Yes
COMP-01333,CUST-02688,2024-01-01 00:00:00,Customer-Service,High,Closed,Zone-A-Downtown,2024-01-02 06:10:18,30.2,No
COMP-01597,CUST-04630,2024-01-01 00:00:00,Connection-Request,Medium,Open,Station-07-Hospital,,,
COMP-01737,CUST-03896,2024-01-01 00:00:00,Service-Interruption,Critical,Closed,Zone-F-Industrial,2024-01-01 07:18:52,7.3,Pending
COMP-01989,CUST-04409,2024-01-01 00:00:00,High-Bill,High,Closed,Station-02-Industrial,2024-01-01 21:19:46,21.3,Yes
COMP-01990,CUST-00716,2024-01-01 00:00:00,High-Bill,High,Closed,Zone-H-Hills,2024-01-01 08:29:12,8.5,Yes
COMP-00984,CUST-02891,2024-01-02 00:00:00,Service-Interruption,High,Closed,Station-12-Suburb-West,2024-01-02 07:47:17,7.8,Yes
COMP-01800,CUST-02868,2024-01-02 00:00:00,Low-Pressure,Medium,Closed,Zone-H-Hills,2024-01-03 08:01:28,32.0,Pending
COMP-00016,CUST-03721,2024-01-03 00:00:00,High-Bill,High,Closed,Station-02-Industrial,2024-01-03 14:03:06,14.1,Pending
COMP-00142,CUST-00349,2024-01-03 00:00:00,Low-Pressure,High,Closed,Station-01-Downtown,2024-01-04 13:28:54,37.5,No
COMP-00765,CUST-04870,2024-01-03 00:00:00,Water-Quality,High,Resolved,Zone-D-East,2024-01-04 00:02:07,24.0,Yes
COMP-00909,CUST-04086,2024-01-03 00:00:00,High-Bill,High,Closed,Station-03-Residential-North,2024-01-04 14:44:03,38.7,Pending
COMP-01082,CUST-04923,2024-01-03 00:00:00,Billing-Error,Critical,Resolved,Zone-B-North,2024-01-03 08:16:58,8.3,No
COMP-01094,CUST-00780,2024-01-03 00:00:00,High-Bill,Medium,Resolved,Zone-H-Hills,2024-01-06 23:31:38,95.5,No
COMP-01298,CUST-00580,2024-01-03 00:00:00,Low-Pressure,High,Resolved,Zone-H-Hills,2024-01-03 07:49:31,7.8,Yes
COMP-01797,CUST-01400,2024-01-03 00:00:00,Water-Quality,Medium,Open,Zone-B-North,,,
COMP-01850,CUST-02875,2024-01-03 00:00:00,Other,Low,Closed,Zone-B-North,2024-01-06 17:21:03,89.4,Pending
